Domain name,Domain type,Agency,Organization name,City,State,Security contact email
dayvillefire.gov,Special district,Non-Federal Agency,Dayville Fire District,Dayville,CT,jeff@jbuchbinder.com
dbbmn.gov,Special district,Non-Federal Agency,Dakota Broadband Board,Farmington,MN,jstassen@farmingtonmn.gov
dcpudwa.gov,Special district,Non-Federal Agency,Public Utility District No. 1 of Douglas County,East Wenatchee,WA,helpis@dcpud.org
dcsoky.gov,Special district,Non-Federal Agency,Daviess County Sheriffs Office,Owensboro,KY,tallen414@gmail.com
delpuertohealth.gov,Special district,Non-Federal Agency,Del Puerto Health Care District,PATTERSON,CA,support@mydatapath.com
deltamvcd.gov,Special district,Non-Federal Agency,Delta Mosquito and Vector Control District,Visalia,CA,help@emdnet.com
dentcountyhealth.gov,Special district,Non-Federal Agency,Dent County Health Center,Salem,MO,contact@dentcohealth.org
dentoncountyesd1.gov,Special district,Non-Federal Agency,Denton County Emergency Services District #1,Argyle,TX,help@dentoncountyesd1.gov
detcog.gov,Special district,Non-Federal Agency,Deep East Texas Council of Governments (DETCOG),Lufkin,TX,smunlin@detcog.gov
digitaltowpathny.gov,Special district,Non-Federal Agency,Digital Towpath Cooperative,Barneveld,NY,ateam@digitaltowpath.org
drdca.gov,Special district,Non-Federal Agency,Desert Recreation District,indio,CA,is@drd.us.com
dupageresults.gov,Special district,Non-Federal Agency,DuPage County Clerk,Wheaton,IL,ITsecurity@dupageco.org
eaglefireid.gov,Special district,Non-Federal Agency,Eagle Fire Protection District,Eagle,ID,tlewis@eaglefire.org
eastarapmetdistco.gov,Special district,Non-Federal Agency,East Arapahoe Metropolitan District,Aiurora,CO,kingpin87@outlook.com
eastchesternyfd.gov,Special district,Non-Federal Agency,Eastchester Fire District,Eastchester,NY,contact@eastchesterfd.com
easthamptonctha.gov,Special district,Non-Federal Agency,East Hampton Housing Authority,East Hampton,CT,twhintz@gmail.com
eastvalleywater.gov,Special district,Non-Federal Agency,East Valley Water District,Highland,CA,rritualo@eastvalley.org
egvilparks.gov,Special district,Non-Federal Agency,Elk Grove Park District,Elk Grove Village,IL,cyber@elkgroveparks.org
elburnfire.gov,Special district,Non-Federal Agency,Elburn & Countryside Fire Protection District,Elburn,IL,Info@elburnfire.gov
electionsshelbytn.gov,Special district,Non-Federal Agency,Shelby County Election Commission,Memphis,TN,joe.young@shelbycountytn.gov
epcwd-ca.gov,Special district,Non-Federal Agency,Estrella-El Pomar-Creston Water District,Paso Robles,CA,info@epcwd.org
eprdco.gov,Special district,Non-Federal Agency,Evergreen Park and Recreation,Evergreen,CO,(blank)
essexregionalnj.gov,Special district,Non-Federal Agency,Essex Regional Health Commission,Livingston,NJ,inforequest@essexregional.org
etowahwaterga.gov,Special district,Non-Federal Agency,Etowah Water & Sewer Authority,Dawsonville,GA,cameronburt@gmail.com
ewgri.gov,Special district,Non-Federal Agency,Exeter-West Greenwich Regional School District,West Greenwich,RI,datasecurity@ewg.k12.ri.us
fairmountfireco.gov,Special district,Non-Federal Agency,Fairmount Fire Protection District,Golden,CO,(blank)
farda.gov,Special district,Non-Federal Agency,Florida Atlantic Research and Development Authority ,Boca Raton,FL,jwales@research-park.org
flaglermosquito.gov,Special district,Non-Federal Agency,East Flagler Mosquito Control District,Palm Coast,FL,admin@flaglermosquito.gov
flaminggorgefireandems.gov,Special district,Non-Federal Agency,Flaming Gorge Fire and EMS District,Manila,UT,(blank)
flylcpa.gov,Special district,Non-Federal Agency,Lee County Port Authority,Fort Myers,FL,security@flylcpa.com
fmbfirefl.gov,Special district,Non-Federal Agency,Fort Myers Beach Fire Control District,Fort Myers Beach,FL,info@fmbfire.org
fortbendisd.gov,Special district,Non-Federal Agency,Fort Bend Independent School District,Sugar Land,TX,infosec@fortbend.k12.tx.us
fresnofloodcontrol.gov,Special district,Non-Federal Agency,Fresno Metropolitan Flood Control District,Fresno,CA,info@fresnofloodcontrol.org
frwmb.gov,Special district,Non-Federal Agency,Flathead Reservation Water Management Board,Ronan,MT,contact@frwmb.gov
fryfiredistrictaz.gov,Special district,Non-Federal Agency,Fry Fire District,Sierra Vista,AZ,support@cochise.az.gov
fwpda.gov,Special district,Non-Federal Agency,Fort Worden Life Long Learning Center Public Development Authority (FWPDA),Port Townsend,WA,itdepartment@fortworden.org
gctdtx.gov,Special district,Non-Federal Agency,Gulf Coast Transit District,Texas City,TX,itservices@gulfcoasttransitdistrict.com
gcwcid1tx.gov,Special district,Non-Federal Agency,Galveston County WCID#1,Dickinson,TX,ilangford@wcid1.com
glacierviewfire.gov,Special district,Non-Federal Agency,Glacier View Fire Protection District,Livermore,CO,(blank)
hamptonroads.gov,Special district,Non-Federal Agency,Hampton Roads Planning District Commission,Chesapeake,VA,serversecurity@insercorp.com
hancevillewateral.gov,Special district,Non-Federal Agency,Hanceville Water & Sewer Board,Hanceville,AL,(blank)
harfordvotes.gov,Special district,Non-Federal Agency,Harford County Board of Elections,Forest Hill,MD,elections@harfordcountymd.gov
harriscountyesd11.gov,Special district,Non-Federal Agency,Harris County ESD 11 Mobile Healthcare,Spring,TX,Domain@esd11.com
hendryelections.gov,Special district,Non-Federal Agency,Hendry County SOE,LaBelle,FL,brenda.hoots@hendryelections.gov
henryco911tn.gov,Special district,Non-Federal Agency,Henry County Emergency Communications District,Paris,TN,henryco911it@gmail.com
h-gac.gov,Special district,Non-Federal Agency,Houston-Galveston Area Council,Houston,TX,infosec@h-gac.com
honolulubws.gov,Special district,Non-Federal Agency,Honolulu Board of Water Supply,Honoulu,HI,infosec@hbws.org
housinglincolncountyor.gov,Special district,Non-Federal Agency,Housing Authority of Lincoln County,Newport,OR,stu@millertech.biz
housingokc.gov,Special district,Non-Federal Agency,Oklahoma City Housing Authority,Oklahoma City,OK,dcalvert@ochanet.org
hrpdcva.gov,Special district,Non-Federal Agency,Hampton Roads Planning District Commission,Chesapeake,VA,serversecurity@insercorp.com
hrtpova.gov,Special district,Non-Federal Agency,Hampton Roads Transportation Planning Organization,Chesapeake,VA,serversecurity@insercorp.com
hrwsba.gov,Special district,Non-Federal Agency,Hood River White Salmon Bridge Authority,Hood River,OR,alyssa.pratt@jla.us.com
hudsonregional.gov,Special district,Non-Federal Agency,Hudson Regional Health Commission,Secaucus,NJ,itsquad@hudsonregional.gov
hvcoksvote.gov,Special district,Non-Federal Agency,Harvey County Clerk,Newton,KS,lheim@harveycounty.com
hvhdct.gov,Special district,Non-Federal Agency,Housatonic Valley Health District,Southbury,CT,it@hvhd.us
il12thcourt.gov,Special district,Non-Federal Agency,Illinois 12th Circuit Court,Joliet,IL,support@willcountyillinois.com
iren.gov,Special district,Non-Federal Agency,Western Riverside Council of Governments,Riverside,CA,support@twintel.net
jcsava.gov,Special district,Non-Federal Agency,James City Service Authority,Williamsburg,VA,postmaster@jamescitycountyva.gov
jeffcom911co.gov,Special district,Non-Federal Agency,Jefferson County Communications Center Authority,Lakewood,CO,helpdesk@jeffcom911.org
jems-il.gov,Special district,Non-Federal Agency,Northwest Central Joint Emergency Management System,Arlington Heights,IL,(blank)
jvwcd.gov,Special district,Non-Federal Agency,Jordan Valley Water Conservancy District,West Jordan,UT,abuse@jvwcd.org
kansasvoterinfo.gov,Special district,Non-Federal Agency,Kansas Secretary of State,Topeka,KS,kssos.support02@ks.gov
kbcr.gov,Special district,Non-Federal Agency,Tri-County Airport Authority,Bonifay,FL,mwilson@kbcr.gov
kidwater4ut.gov,Special district,Non-Federal Agency,Kearns Improvement District,Kearns,UT,ganderson@kearnsid.org
ksvoterinfo.gov,Special district,Non-Federal Agency,Kansas Secretary of State,Topeka,KS,kssos.support02@ks.gov
lacahsa.gov,Special district,Non-Federal Agency,Los Angeles County Affordable Housing Solutions Agency,Los Angeles,CA,aj@voxpop.la
lacera.gov,Special district,Non-Federal Agency,Los Angeles County Employees Retirement Association,Pasadena,CA,infosec@lacera.com
lakewoodcourtoh.gov,Special district,Non-Federal Agency,Lakewood Municipal Court,Lakewood,OH,it@lakewoodoh.net
laschoolpolice.gov,Special district,Non-Federal Agency,Los Angeles School Police Department,Los Angeles,CA,jtaylor@laspd.com
lassencoe.gov,Special district,Non-Federal Agency,Lassen County Office of Education,Susanville,CA,abuse@lcoe.org
lawrencecountymo911.gov,Special district,Non-Federal Agency,Lawrence County Emergency Services Board 9-1-1,Mt. Vernon,MO,bwittschulte@lawrencecountymo911.gov
lcemsami.gov,Special district,Non-Federal Agency,Lake Charlevoix Emergency Service Authority,Charlevoix,MI,domainadmin@charlevoixmi.gov
lcfwasa.gov,Special district,Non-Federal Agency,Lower Cape Fear Water and Sewer Authority,Leland,NC,security@lcfwasa.org
lcog-or.gov,Special district,Non-Federal Agency,Lane Council of Governments,Eugene,OR,dnsadmin@lcog.org
lebanonfireoregon.gov,Special district,Non-Federal Agency,Lebanon Fire Department,Lebanon,OR,helpdesk@ci.lebanon.or.us
lefthandwater.gov,Special district,Non-Federal Agency,Left Hand Water District,Niwot,CO,(blank)
leonpa.gov,Special district,Non-Federal Agency,Leon County Property Appraiser,Tallahassee,FL,itdept2@leonpa.gov
libertyhillssewer.gov,Special district,Non-Federal Agency,Liberty Hills Reorganized Common Sewer District,Liberty,MO,(blank)
lincolnshirefdil.gov,Special district,Non-Federal Agency,Lincolnshire-Riverwoods Fire Protection District,Lincolnshire,IL,cyber@lrfpd.org
lindenlibrary-nj.gov,Special district,Non-Federal Agency,Linden Free Public Library,Linden,NJ,security@teliapp.com
loganhealthohio.gov,Special district,Non-Federal Agency,Logan County Health District,Bellefontaine,OH,lchd@loganhealthohio.gov
logismn.gov,Special district,Non-Federal Agency,Local Government Information Systems (LOGIS),Golden Valley,MN,phartwig@logis.org
lonokedistrictcourtar.gov,Special district,Non-Federal Agency,Lonoke District Court,Lonoke,AR,districtcourt@cityoflonoke.com
loraincountyrecorder.gov,Special district,Non-Federal Agency,Lorain County Recorder's Office,Elyria,OH,lcrecorder@loraincounty.us
loudontn911.gov,Special district,Non-Federal Agency,Loudon County Emergency Communications District,Loudon,TN,security@loudoncounty911.org
lpcd-lafla.gov,Special district,Non-Federal Agency,LAFAYETTE PARISH COMMUNICATION DISTRICT,LAFAYETTE,LA,cterpening@lafayettela.gov
lpcdops-lafla.gov,Special district,Non-Federal Agency,LAFAYETTE PARISH COMMUNICATION DISTRICT,LAFAYETTE,LA,cterpening@lafayettela.gov
lptami.gov,Special district,Non-Federal Agency,Lenawee Public Transportation Authority,Adrian,MI,cdaisher@adrianmi.gov
manateepao.gov,Special district,Non-Federal Agency,Manatee County Property Appraiser,Bradenton,FL,paoit@manateepao.com
marionflclerk.gov,Special district,Non-Federal Agency,Office of the Marion County Clerk of Court and Comptroller,Ocala,FL,helpdesk@marioncountyclerk.org
martinvotes.gov,Special district,Non-Federal Agency,Martin County Supervisor of Elections,Stuart,FL,elections@martonvotes.com
masoncountywaelections.gov,Special district,Non-Federal Agency,Mason County Elections,SHELTON,WA,elections@masoncountywa.gov
massauditor.gov,Special district,Non-Federal Agency,Massachusetts Office of the State Auditor,Boston,MA,securityteam@sao.state.ma.us
mbtaadvisoryboard.gov,Special district,Non-Federal Agency,MBTA Advisory Board,Boston,MA,dobrien@mbtaadvisoryboard.gov
mcaps-mn.gov,Special district,Non-Federal Agency,Minnesota Counties Computer Cooperative (MnCCC),St. Paul,MN,brian@bravenorthtech.com
mckinneyisdtx.gov,Special district,Non-Federal Agency,McKinney Independent School District,McKinney,TX,abuse@mckinneyisd.net
menlofire.gov,Special district,Non-Federal Agency,Menlo Park Fire Protection District,Menlo Park,CA,erict@menlofire.org
mesquitegcd.gov,Special district,Non-Federal Agency,Mesquite Groundwater Conservation District,Wellington,TX,mgcdtech01@gmail.com
metroplanorlando.gov,Special district,Non-Federal Agency,MetroPlan Orlando,Orlando,FL,jloschiavo@metroplanorlando.org
mexicocsd.gov,Special district,Non-Federal Agency,Mexico Academy & CSD,Mexico,NY,security@mexicocsd.org
mgclercoh.gov,Special district,Non-Federal Agency,Montgomery Greene County Local Emergency Response Council (MGCLERC),Dayton,OH, 
midohiowsd.gov,Special district,Non-Federal Agency,Mid-Ohio Water and Sewer District,London,OH,domaincontact@madison.oh.gov
midwaycitysanitaryca.gov,Special district,Non-Federal Agency,Midway City Sanitary District,Westminster,CA,mike@crccloud.com
milcrofton.gov,Special district,Non-Federal Agency,Milcrofton Utility District,Franklin,TN,info@milcrofton.gov
minnesotahealthcareconsortium.gov,Special district,Non-Federal Agency,Minnesota Healthcare Consortium,Mt. Iron,MN,support@nescmn.net
mnccc.gov,Special district,Non-Federal Agency,Minnesota Counties Computer Cooperative (MnCCC),St. Paul,MN,brian@bravenorthtech.com
mndisability.gov,Special district,Non-Federal Agency,MN Governor's Council on Developmental Disabilities,St. Paul,MN,(blank)
mnhc.gov,Special district,Non-Federal Agency,Minnesota Healthcare Consortium,Mountain Iron,MN,support@nescmn.net
mnhousing.gov,Special district,Non-Federal Agency,Minnesota Housing Finance Agency,St. Paul,MN,(blank)
mnprairie.gov,Special district,Non-Federal Agency,Minnesota Prairie County Alliance,Mantorville,MN,helpdesk@mnprairie.org
mrcog-nm.gov,Special district,Non-Federal Agency,Mid-Region Council of Governments,Albuquerque,NM,(blank)
msdprojectclearmo.gov,Special district,Non-Federal Agency,Metropolitan St. Louis Sewer District,St. Louis,MO,DLInfoSec@stlmsd.com
murphysfire.gov,Special district,Non-Federal Agency,Murphys Fire Protection District,Murphys,CA,scottk96@icloud.com
mvwdca.gov,Special district,Non-Federal Agency,Monte Vista Water District,Montclair,CA,michellew@resourcecomputer.com
mwdsls.gov,Special district,Non-Federal Agency,Metropolitan Water District of Salt Lake and Sandy,Cottonwood Heights,UT,abuse@mwdsls.org
mycues.gov,Special district,Non-Federal Agency,Central Utah Educational Services,Richfield,UT,helpdesk@mycues.org
mylacera.gov,Special district,Non-Federal Agency,Los Angeles County Employees Retirement Association,Pasadena,CA,infosec@lacera.com
mypinellasclerk.gov,Special district,Non-Federal Agency,Pinellas County Clerk of the Circuit Court and Comptroller,Clearwater,FL,ctinfosec@mypinellasclerk.org
nashuarpc.gov,Special district,Non-Federal Agency,Nashua Regional Planning Commission,Nashua,NH,ITAdmin@nashuarpc.org
ncbon.gov,Special district,Non-Federal Agency,North Carolina Board of Nursing,Raleigh,NC,helpdesk@thepinnaclegroup.com
ncfireca.gov,Special district,Non-Federal Agency,North County Fire Protection District,Fallbrook,CA,cswanger@ncfire.org
ncgaming.gov,Special district,Non-Federal Agency,North Carolina State Lottery Commission,Raleigh,NC,NCDomainNotify@lotterync.net
nemo911.gov,Special district,Non-Federal Agency,Marion County Emergency Services,Hannibal,MO,domainsecurity@nemo911.com
nhsau107.gov,Special district,Non-Federal Agency,SAU 107,Nottingahm,NH,ksmith@nottingham.k12.nh.us
njcsit.gov,Special district,Non-Federal Agency,"New Jersey Commission on Science, Innovation and Technology",Trenton,NJ,pmcmillan@njeda.com
njmeadowlands.gov,Special district,Non-Federal Agency,New Jersey Sports and Exposition Authority,Lyndhurst,NJ,(blank)
northbannockfire.gov,Special district,Non-Federal Agency,North Bannock Fire District,Chubbuck,ID,(blank)
northcountyfire.gov,Special district,Non-Federal Agency,North County Fire Authority,Daly City,CA,(blank)
northdavisfireut.gov,Special district,Non-Federal Agency,North Davis Fire District,West Point,UT,Support@ETSCorp.com
northsummitfireut.gov,Special district,Non-Federal Agency,North Summit Fire Service District,Coalville,UT,DomainSecurity@northsummitfire.org
nsbufl.gov,Special district,Non-Federal Agency,"Utilities Commission, City of New Smyrna Beach, Florida",New Smyrna Beach,FL,(blank)
nvrddma.gov,Special district,Non-Federal Agency,Nashoba Valley Regional Dispatch District,Devens,MA,paul@cmgeeks.com
nwfdaz.gov,Special district,Non-Federal Agency,Northwest Fire District,Tucson,AZ,rdutcher@nwfdaz.gov
nypa.gov,Special district,Non-Federal Agency,New York Power Authority,White Plains,NY,cyberalert@nypa.gov
nystrs.gov,Special district,Non-Federal Agency,New York State Teachers' Retirement System,Albany,NY,securityadmins@nystrs.org
obioncountytn911.gov,Special district,Non-Federal Agency,Obion County Emergency Communications District (E-911),Union City,TN,support@geoconex.com
ocassessor.gov,Special district,Non-Federal Agency,Orange County Assessor Department,Orange,CA,security@asr.ocgov.com
ocfelections.gov,Special district,Non-Federal Agency,Orange County Florida Supervisor of Elections,Orlando,FL,security@ocfelections.gov
ocprintgraphics.gov,Special district,Non-Federal Agency,Orange County Registrar of Voters,Santa Ana,CA,rovwebmaster@ocvote.gov
ocsan.gov,Special district,Non-Federal Agency,Orange County Sanitation District ,Fountain Valley,CA,itsecurityalerts@ocsan.gov
ocvote.gov,Special district,Non-Federal Agency,Orange County Registrar of  Voters,Santa Ana,CA,rovwebmaster@rov.ocgov.com
oklahomaced3.gov,Special district,Non-Federal Agency,Circuit Engineering District 3,Hugo,OK,jwatsonced3@gmail.com
omag.gov,Special district,Non-Federal Agency,Oklahoma Municipal Assurance Group,Edmond,OK,abuse@omag.org
omngc.gov,Special district,Non-Federal Agency,Oklahoma Municipal Natural Gas Coalition,Edmond,OK,abuse@omag.org
opc-dc.gov,Special district,Non-Federal Agency,Office of the People's Counsel,Washington,DC,atlee@opc-dc.gov
orcw.gov,Special district,Non-Federal Agency,Oregon Cascades West Council of Governments,Albany,OR,security@ocwcog.org
osrdmo.gov,Special district,Non-Federal Agency,Ozark Special Road District,Ozark,MO,(blank)
otaywater.gov,Special district,Non-Federal Agency,Otay Water District,Spring Valley,CA,mk@otaywater.gov
otpdvi.gov,Special district,Non-Federal Agency,Office of the Territorial Public Defender,St. Thomas,VI,peter.mitchell@otpd.vi.gov
paregion13.gov,Special district,Non-Federal Agency,Region 13 Southwestern PA Emergency Response Group,Coraopolis,PA,talviar@fcema.org
paslc.gov,Special district,Non-Federal Agency,Saint Lucie County Property Appraiser,Fort Pierce,FL,helpdesk@paslc.org
pbcpao.gov,Special district,Non-Federal Agency,Palm Beach County Property Appraiser's Office,West Palm Beach,FL,pa-admins@pbcgov.org
pccdal.gov,Special district,Non-Federal Agency,Pike County Communications District,Troy,AL,support@pikecounty911.org
pcfdut.gov,Special district,Non-Federal Agency,Park City Fire District,Park City,UT,security@pcfd.org
pcpao.gov,Special district,Non-Federal Agency,Pinellas County Property Appraiser,Clearwater,FL,webmaster@pcpao.gov
peoriaparks-il.gov,Special district,Non-Federal Agency,"Pleasure Driveway and Park District of Peoria, IL DBA Peoria Park District",Peoria,IL,it@peoriaparks.org
permarisk.gov,Special district,Non-Federal Agency,Public Entity Risk Management Authority,Palm Desert,CA,info@permarisk.gov
piutesd.gov,Special district,Non-Federal Agency,Piute County School District,Junction,UT,webmaster@piutek12.org
polkswcdiowa.gov,Special district,Non-Federal Agency,Polk Soil and Water Conservation District,Ankeny,IA,polkswcdiowa@gmail.com
portcanaveral.gov,Special district,Non-Federal Agency,Canaveral Port Authority,Cape Canaveral,FL,it-cybersecurity@portcanaveral.com
porthouston.gov,Special district,Non-Federal Agency,Port of Houston Authority,Houston,TX,(blank)
portofcateslandingtn.gov,Special district,Non-Federal Agency,Northwest Tennessee Regional Port Authority,Tiptonville,TN,aztec2211@gmail.com
portofedmonds.gov,Special district,Non-Federal Agency,Port of Edmonds,Edmonds,WA,ITsecurity@portofedmonds.org
portofephrata.gov,Special district,Non-Federal Agency,Port of Ephrata,Ephrata,WA,finance@portofephrata.gov
postlakeswi.gov,Special district,Non-Federal Agency,Post Lakes Protection and Rehabilitation District,Elcho,WI,secretary@postlakeswi.gov
prairiepointmdsco.gov,Special district,Non-Federal Agency,"Prairie Point Metropolitan District Nos. 1, 2, and 3 and the Prairie Point Community Authority Board",Denver,CO,cwill@specialdistrictlaw.com
prismrisk.gov,Special district,Non-Federal Agency,"Public Risk Innovation, Solutions, and Management",Folsom,CA,tpelster@prismrisk.gov
prwid.gov,Special district,Non-Federal Agency,Price River Water Improvement District,Price,UT,security@prwid.com
pscleanair.gov,Special district,Non-Federal Agency,Puget Sound Clean Air Agency,Seattle,WA,security@pscleanair.gov
