Domain name,Domain type,Agency,Organization name,City,State,Security contact email
atchisonkspolice.gov,City,Non-Federal Agency,Atchison Police Department,Atchison,KS,mike.wilson@atchisonkspolice.gov
athelstanewiclerk.gov,City,Non-Federal Agency,Town of Athelstane,Athelstane,WI,(blank)
athensil.gov,City,Non-Federal Agency,City of Athens,Athens,IL,security@athensil.com
athenstn.gov,City,Non-Federal Agency,City of Athens,Athens,TN,technologymanager@cityofathenstn.com
athenstx.gov,City,Non-Federal Agency,City of Athens,Athens,TX,webregistrar@athenstx.gov
athensvillageny.gov,City,Non-Federal Agency,"Village of Athens, NY",Athens,NY,alerts@greenecomputer.org
athensvt.gov,City,Non-Federal Agency,Town of Athens,Athens,VT,its@athensvt.gov
athol-ma.gov,City,Non-Federal Agency,Town of Athol,Athol,MA,acraven@townofathol.org
atkinson-nh.gov,City,Non-Federal Agency,Town of Atkinson,Atkinson,NH,assttownadmin@atkinson-nh.gov
atlantaga.gov,City,Non-Federal Agency,City of Atlanta,Atlanta,GA,tmunyengango@atlantaga.gov
atlantisfl.gov,City,Non-Federal Agency,City of Atlantis,Atlantis,FL,mlegall@atlantisfl.gov
attica-in.gov,City,Non-Federal Agency,City of Attica,Attica,IN,CLERK@ATTICA-IN.GOV
atwatermn.gov,City,Non-Federal Agency,City of Atwater,Atwater,MN,atwatercityclerk@willmarnet.com
aubreytx.gov,City,Non-Federal Agency,City of Aubrey,Aubrey,TX,(blank)
auburnal.gov,City,Non-Federal Agency,"City of Auburn, AL",,,webit@auburnalabama.org
auburnma.gov,City,Non-Federal Agency,Town of Auburn,Auburn,MA,webmaster@town.auburn.ma.us
auburnmaine.gov,City,Non-Federal Agency,"City of Auburn, Maine",Auburn,ME,jcunningham@auburnmaine.gov
auburnmi.gov,City,Non-Federal Agency,City of Auburn,Auburn,MI,kps@shumakergroup.com
auburnny.gov,City,Non-Federal Agency,City of Auburn,Auburn,NY,(blank)
auburnwa.gov,City,Non-Federal Agency,City of Auburn,Auburn,WA,servicedesk@auburnwa.gov
augustaga.gov,City,Non-Federal Agency,City of Augusta,Augusta,GA,(blank)
augustaky.gov,City,Non-Federal Agency,City of Augusta,Augusta,KY,dpadgett@augustaky.com
augustamaine.gov,City,Non-Federal Agency,City of Augusta,Augusta,ME,mike.schriver@augustamaine.gov
aultcolorado.gov,City,Non-Federal Agency,Town of Ault Colorado,Ault,CO,info@townofault.org
auroramo.gov,City,Non-Federal Agency,City of Aurora,Aurora,MO,(blank)
auroratexas.gov,City,Non-Federal Agency,City of Aurora Texas,Rhome,TX,mayor@auroratexas.gov
ausabletwp-mi.gov,City,Non-Federal Agency,AuSable Township,AuSable,MI,(blank)
austellga.gov,City,Non-Federal Agency,City of Austell ,Austell,GA,(blank)
austin.gov,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
austintexas.gov,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
austintx.gov,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
avonct.gov,City,Non-Federal Agency,Town of Avon,Avon,CT,(blank)
avondaleaz.gov,City,Non-Federal Agency,City of Avondale,Avondale,AZ,(blank)
avondaleestatesga.gov,City,Non-Federal Agency,Avondale Estates,Avondale Estates,GA,security@avondaleestates.org
avonindiana.gov,City,Non-Federal Agency,Town of Avon Indiana,Avon,IN,jwade@avongov.org
avon-ma.gov,City,Non-Federal Agency,Town of Avon,Avon,MA,(blank)
az-fhsd.gov,City,Non-Federal Agency,Fountain Hills Sanitary District,Fountain Hills,AZ,(blank)
aztecnm.gov,City,Non-Federal Agency,City of Aztec,Aztec,NM,(blank)
azusaca.gov,City,Non-Federal Agency,City of Azusa,Azusa,CA,(blank)
badenpa.gov,City,Non-Federal Agency,Borough of Baden,Baden,PA,(blank)
bagleytownshipmi.gov,City,Non-Federal Agency,Bagley Township,Gaylord,MI,kps@shumakergroup.com
baileysharborwi.gov,City,Non-Federal Agency,Town of Baileys Harbor,BAILEYS HARBOR,WI,admin@baileysharborwi.org
bainbridgewa.gov,City,Non-Federal Agency,City of Bainbridge Island,Bainbridge Island,WA,mdalton@bainbridgewa.gov
bakercity.gov,City,Non-Federal Agency,City of Baker City,Baker City,OR,(blank)
bakercitypd.gov,City,Non-Federal Agency,Baker City,Baker City,OR,marlin@ms-tech-consulting.com
bakersfield-ca.gov,City,Non-Federal Agency,City of Bakersfield,Bakersfield,CA,helpdesk@bakersfieldcity.us
baldwincity.gov,City,Non-Federal Agency,"City of Baldwin City, KS",Baldwin City,KS,HELPDESK@BALDWINCITY.ORG
balharbourfl.gov,City,Non-Federal Agency,Bal Harbour Village,Bal Harbour,FL,rcarmenaty@balharbourfl.gov
baltimorecitybnmd.gov,City,Non-Federal Agency,Baltimore City Office of Information & Technology (BCIT),Baltimore,MD,Kevin.Kearney@baltimorecity.gov
baltimorecity.gov,City,Non-Federal Agency,Baltimore City Office of Information and Technology,Baltimore,MD,kevin.kearney@baltimorecity.gov
banderatx.gov,City,Non-Federal Agency,City of Bandera Texas,Bandera,TX,nancy.defoster@BanderaTX.gov
bangormaine.gov,City,Non-Federal Agency,City of Bangor,Bangor,ME,(blank)
banningca.gov,City,Non-Federal Agency,City of Banning,Banning,CA,support@ci.banning.ca.us
baraboowi.gov,City,Non-Federal Agency,City of Baraboo,Baraboo,WI,saukmis@cityofbaraboo.com
bardstownky.gov,City,Non-Federal Agency,City Of Bardstown,Bardstown,KY,noc@bardstowncable.net
barharbormaine.gov,City,Non-Federal Agency,Town of Bar Harbor,Bar Harbor,ME,(blank)
barlingar.gov,City,Non-Federal Agency,City of Barling,Barling,AR,(blank)
barnesvilleohio.gov,City,Non-Federal Agency,Village of Barnesville,Barnesville,OH,webmaster@barnesvilleohio.com
barnunnwy.gov,City,Non-Federal Agency,Town of Bar Nunn,Bar Nunn,WY,peterboyer@townofbarnunn.com
barringtonhills-il.gov,City,Non-Federal Agency,Village of Barrington Hills,Barrington Hills,IL,(blank)
barrington-il.gov,City,Non-Federal Agency,Village of Barrington,Barrington,IL,jmcginn@barrington-il.gov
barrytownshipmn.gov,City,Non-Federal Agency,Barry Township,Hinckley,MN,barrytwpclerk@gmail.com
bartlettil.gov,City,Non-Federal Agency,Village of Bartlett,Bartlett,IL,bartlett@bartlettil.gov
basslakewi.gov,City,Non-Federal Agency,Town of Bass Lake,Hayward,WI,tammy@basslakewi.gov
bataviail.gov,City,Non-Federal Agency,City of Batavia,Batavia,IL,exchgrp_ismonitor@cityofbatavia.net
bataviaoh.gov,City,Non-Federal Agency,Village of Batavia,Batavia,OH,info@bataviavillage.org
batesvillearkansas.gov,City,Non-Federal Agency,City of Batesville,Batesville,AR,it@batesvillearkansas.gov
batonrougela.gov,City,Non-Federal Agency,City of Baton Rouge / Parish of East Baton Rouge,Baton Rouge,LA,(blank)
battlecreekmi.gov,City,Non-Federal Agency,City of Battle Creek,Battle Creek,MI,security@battlecreekmi.gov
battlefieldmo.gov,City,Non-Federal Agency,City of Battlefield,Battlefield,MO,(blank)
baxleyga.gov,City,Non-Federal Agency,City of Baxley,Baxley,GA,amcneal@baxleyga.gov
baxtermn.gov,City,Non-Federal Agency,City of Baxter,Baxter,MN,(blank)
baycitymi.gov,City,Non-Federal Agency,City of Bay City,Bay City,MI,kedmonds@baycitymi.org
bayharborislands-fl.gov,City,Non-Federal Agency,Town of Bay Harbor Islands,Bay Harbor Islands,FL,(blank)
baysidewi.gov,City,Non-Federal Agency,Village of Bayside,Bayside,WI,dhaley@baysidewi.gov
baystlouis-ms.gov,City,Non-Federal Agency,City of Bay St. Louis,Bay St. Louis,MS,mark@northshorecomputerservices.net
bayvilleny.gov,City,Non-Federal Agency,Incorporated Village of Bayville,Bayville,NY,(blank)
bcutah.gov,City,Non-Federal Agency,Brigham City,Brigham City,UT,rwilkerson@bcutah.org
beachhaven-nj.gov,City,Non-Federal Agency,Borough of Beach Haven,Beach Haven,NJ,service@spar.com
beaconny.gov,City,Non-Federal Agency,City of Beacon,Beacon,NY,eackerley@enableyourbiz.com
bearcreektownshipmi.gov,City,Non-Federal Agency,Bear Creek Township,Petoskey,MI,secretary@bearcreektownship.com
beaumontcabusiness.gov,City,Non-Federal Agency,City of Beaumont,Beaumont,CA,it@beaumontca.gov
beaumont-ca.gov,City,Non-Federal Agency,"City of Beaumont, California",Beaumont,CA,(blank)
beaumontca.gov,City,Non-Federal Agency,City of Beaumont,Beaumont,CA,(blank)
beaumonttexas.gov,City,Non-Federal Agency,City of Beaumont,Beaumont,TX,webmaster@beaumonttexas.gov
beauxarts-wa.gov,City,Non-Federal Agency,Town of Beaux Arts Village,Beaux Arts,WA,townhall@beauxarts-wa.gov
beavercreekohio.gov,City,Non-Federal Agency,City of Beavercreek,Beavercreek,OH,(blank)
beaverpa.gov,City,Non-Federal Agency,Borough of Beaver,Beaver,PA,(blank)
beavertonoregon.gov,City,Non-Federal Agency,City of Beaverton,Beaverton,OR,mailboxisdhelpdesk@beavertonoregon.gov
beavertwp-oh.gov,City,Non-Federal Agency,Beaver Township,North Lima,OH,eddattilo@beavertwp-oh.gov
beckemeyeril.gov,City,Non-Federal Agency,City of Beckemeyer,Beckemeyer,IL,villageofbec@ezeeweb.com
bedfordboroughpa.gov,City,Non-Federal Agency,Bedford Police Department,BEDFORD,PA,tnelson@bedboro.com
bedfordchartertwpmi.gov,City,Non-Federal Agency,Charter Township of Bedford,Battle Creek,MI,todd.lyman@vc3.com
bedfordheights.gov,City,Non-Federal Agency,City of Bedford Heights,Bedford Heights,OH,tedg@bedfordheights.gov
bedfordma.gov,City,Non-Federal Agency,Town of Bedford,Bedford,MA,(blank)
bedfordny.gov,City,Non-Federal Agency,Town of Bedford,Bedford Hills,NY,(blank)
bedfordoh.gov,City,Non-Federal Agency,City of Bedford,Bedford,OH,(blank)
bedfordtx.gov,City,Non-Federal Agency,City of Bedford,Bedford,TX,levi.miller@bedfordtx.gov
bedfordva.gov,City,Non-Federal Agency,Town of Bedford,Bedford,VA,jholmes@bedfordva.gov
beecavetexas.gov,City,Non-Federal Agency,City of Bee Cave,Bee Cave,TX,(blank)
belaireks.gov,City,Non-Federal Agency,City of Bel Aire,Bel Aire,KS,general@gilmoresolutions.com
belen-nm.gov,City,Non-Federal Agency,City of Belen,Belen,NM,(blank)
belgiumwi.gov,City,Non-Federal Agency,Village of Belgium,Belgium,WI,jlesar@belgiumwi.gov
belgrademt.gov,City,Non-Federal Agency,City of Belgrade,Belgrade,MT,itaccounts@belgrademt.gov
bellairetx.gov,City,Non-Federal Agency,City of Bellaire,Bellaire,TX,techsupport@bellairetx.gov
bellavistaar.gov,City,Non-Federal Agency,City of Bella Vista,Bella Vista,AR,jmoeckel@bellavistaar.gov
belleairbluffs-fl.gov,City,Non-Federal Agency,City of Belleair Bluffs,Belleair Bluffs,FL,(blank)
bellefontepa.gov,City,Non-Federal Agency,Borough of Bellefonte,Bellefonte,PA,lmcgowan@bellefontepa.gov
belleislefl.gov,City,Non-Federal Agency,"City of Belle Isle, Florida",Belle Isle,FL,yquiceno@belleislefl.gov
bellemeade-ky.gov,City,Non-Federal Agency,City of Bellemeade,Louisville,KY,mayor@bellemeade-ky.gov
belleplaineiowa.gov,City,Non-Federal Agency,City of Belle Plaine,Belle Plaine,IA,cityofbp@belleplaineiowa.gov
belleplainemn.gov,City,Non-Federal Agency,City of Belle Plaine,Belle Plaine,MN,administrator@ci.belleplaine.mn.us
belleriveacresmo.gov,City,Non-Federal Agency,City of Bellerive Acres,Normandy,MO,daleficken@belleriveacresmo.gov
bellevueia.gov,City,Non-Federal Agency,"City of Bellevue, Iowa",Bellevue,IA,emily.medinger@bellevueia.gov
bellevuewa.gov,City,Non-Federal Agency,City of Bellevue,Bellevue,WA,kban@bellevuewa.gov
bellmeadtx.gov,City,Non-Federal Agency,City of Bellmead,Bellmead,TX,kevans@bellmeadtx.gov
bellportvillageny.gov,City,Non-Federal Agency,Village of Bellport,Bellport,NY,(blank)
belmont.gov,City,Non-Federal Agency,City of Belmont,Belmont,CA,is@belmont.gov
belmont-ma.gov,City,Non-Federal Agency,Town of Belmont,Belmont,MA,(blank)
belmontnh.gov,City,Non-Federal Agency,Town of Belmont,Belmont,NH,support@ccsnh.com
beloitwi.gov,City,Non-Federal Agency,City of Beloit,Beloit,WI,(blank)
beltontexas.gov,City,Non-Federal Agency,"City of Belton, TX",Belton,TX,(blank)
belvidereil.gov,City,Non-Federal Agency,City of Belvidere,Bevlvidere,IL,it@boonecountyil.gov
