Domain name,Domain type,Agency,Organization name,City,State,Security contact email
aldot.gov,State or territory,Non-Federal Agency,Alabama Department of Transportation,Montgomery,AL,infosec@dot.state.al.us
alea.gov,State or territory,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,SOC@alea.gov
alexaminers.gov,State or territory,Non-Federal Agency,Alabama Department of Examiners of Public Accounts,Montgomery,AL,tyler.mason@examiners.alabama.gov
al.gov,State or territory,Non-Federal Agency,State of Alabama,Montgomery,AL,(blank)
alhouse.gov,State or territory,Non-Federal Agency,State of Alabama - Legislative Computer Center,Montgomery ,AL,brian.webb@legislature.gov
al-legislature.gov,State or territory,Non-Federal Agency,State of Alabama,Montgomery,AL,brian.webb@legislature.gov
almlc.gov,State or territory,Non-Federal Agency,State of Alabama Board of Medical Examiners,Montgomery,AL,chart@albme.gov
alsenate.gov,State or territory,Non-Federal Agency,State of Alabama - Legislative Computer Center ,Montgomery ,AL,brian.webb@legislature.gov
americansamoa.gov,State or territory,Non-Federal Agency,AMERICAN SAMOA GOVERNMENT,Pago Pago,AS,ray2.tulafono@tr.as.gov
apprenticeshipidaho.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
aqmd.gov,State or territory,Non-Federal Agency,SCAQMD,Diamond Bar,CA,(blank)
arcourts1st.gov,State or territory,Non-Federal Agency,1St Judicial Circuit of the State of Arkansas,Forrest City,AR,support@univodata.com
arcourts6th.gov,State or territory,Non-Federal Agency,Administrative Office of the Courts,Little Rock,AR,helpdesk@pulaskicounty.net
arcourts.gov,State or territory,Non-Federal Agency,Administrative Office of the Courts,Little Rock,AR,security@arcourts.gov
ardot.gov,State or territory,Non-Federal Agency,Arkansas Deptartment of Transportation,Little Rock,AR,(blank)
ar.gov,State or territory,Non-Federal Agency,"Department of Information Systems, Arkansas",Little Rock,AR,hostmaster@arkansas.gov
arizona.gov,State or territory,Non-Federal Agency,Government Information Technology Agency,Phoenix,AZ,websecurity@azdoa.gov
arizonajobconnection.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
arkansasag.gov,State or territory,Non-Federal Agency,Arkansas Attorney General,Little Rock,AR,it@arkansasag.gov
arkansas.gov,State or territory,Non-Federal Agency,"Department of Information System, Arkansas",Little Rock,AR,hostmaster@arkansas.gov
arklegaudit.gov,State or territory,Non-Federal Agency,Arkansas Division of Legislative Audit,Little Rock,AR,info@arklegaudit.gov
artreasury.gov,State or territory,Non-Federal Agency,Arkansas State Treasury,Litlte Rock,AR,TERRI.FREEMAN@ARTREASURY.GOV
artrs.gov,State or territory,Non-Federal Agency,Arkansas Teacher Retirement System,Little Rock,AR,joes@artrs.gov
aselectionoffice.gov,State or territory,Non-Federal Agency,Election Office,Pago Pago,AS,cameron.dixon@hq.dhs.gov
asfono.gov,State or territory,Non-Federal Agency,AMERICAN SAMOA SENATE THE LEGISLATURE OF AMERICAN SAMOA,Pago Pago,AS,fonosenate@gmail.com
as.gov,State or territory,Non-Federal Agency,American Samoa Government,Pago Pago,AS,faamasino.galoia@go.as.gov
atlasalabama.gov,State or territory,Non-Federal Agency,Center for Advanced Public Safety - University of Alabama,TUSCALOOSA,AL,(blank)
attorneygeneral.gov,State or territory,Non-Federal Agency,Information Technology Section,Harrisburg,PA,tniziol@attorneygeneral.gov
az511.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,Pheonix,AZ,(blank)
az529.gov,State or territory,Non-Federal Agency,Office of the Arizona State Treasurer,Phoenix,AZ,(blank)
az911.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,websecurity@azdoa.gov
azabrc.gov,State or territory,Non-Federal Agency,Arizona Biomedical Research Commission,Phoenix,AZ,(blank)
azaccountancy.gov,State or territory,Non-Federal Agency,AZ State Board of Accountancy,Phoenix,AZ,rsietz@azaccountancy.gov
azactic.gov,State or territory,Non-Federal Agency,Arizona Department of Public Safety,Phoenix,AZ,(blank)
azadc.gov,State or territory,Non-Federal Agency,Arizona Department of Corrections,Phoenix,AZ,(blank)
azag.gov,State or territory,Non-Federal Agency,Arizona Attorney General,Phoenix,AZ,terry.dupree@azag.gov
azahcccs.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,Phoenix,AZ,(blank)
az-apep.gov,State or territory,Non-Federal Agency,AHCCCS,Phoenix,AZ,(blank)
azarts.gov,State or territory,Non-Federal Agency,Arizona Commission on the Arts,Phoenix,AZ,(blank)
azasrs.gov,State or territory,Non-Federal Agency,Arizona State Retirement System,Phoenix,AZ,domainsecurity@azasrs.gov
azauditor.gov,State or territory,Non-Federal Agency,Arizona Auditor General,Phoenix,AZ,itsec@azauditor.gov
azbn.gov,State or territory,Non-Federal Agency,Arizona State Board of Nursing,Phoenix,AZ,rhensler@azbn.gov
azbnp.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azboc.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,websecurity@arizona.gov
azboxingandmma.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,ITUnit@azgaming.gov
azbtr.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,(blank)
azcancercontrol.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azcapitolmuseum.gov,State or territory,Non-Federal Agency,Arizona Legislative Council,Phoenix,AZ,(blank)
azcc.gov,State or territory,Non-Federal Agency,Arizona Corporation Commission,Phoenix,AZ,it-alerts@azcc.gov
azcjc.gov,State or territory,Non-Federal Agency,Arizona Criminal Justice Commission,Phoenix,AZ,jpodnar@azcjc.gov
azcleanelections.gov,State or territory,Non-Federal Agency,Citizens Clean Elections Commission,Phoenix,AZ,(blank)
azcoop.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,websecurity@azdoa.gov
azcorrections.gov,State or territory,Non-Federal Agency,Arizona Department of Corrections,Phoenix,AZ,(blank)
azcourtdocs.gov,State or territory,Non-Federal Agency,Arizona Supreme Court,Phoenix,AZ,sgavette@courts.az.gov
azcourts.gov,State or territory,Non-Federal Agency,Arizona Supreme Court,Phoenix,AZ,sgavette@courts.az.gov
azcvd.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azdaars.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azda.gov,State or territory,Non-Federal Agency,Arizona Department of Agriculture,Phoenix,AZ,hgreene@azda.gov
azdc.gov,State or territory,Non-Federal Agency,Arizona Department of Corrections ,Phoenix,AZ,(blank)
azdcs.gov,State or territory,Non-Federal Agency,Arizona Department of Child Safety,Phoenix,AZ,Edward.Jewell@AZDCS.GOV
azddpc.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azdema.gov,State or territory,Non-Federal Agency,Arizona Department of Emergency and Military Affairs,Phoenix,AZ,tim.barndt@azdema.gov
azdeq.gov,State or territory,Non-Federal Agency,Arizona Dept of Environmental Quality,Phoenix,AZ,adminnotify@azdeq.gov
azdes.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azdfi.gov,State or territory,Non-Federal Agency,Arizona Department of Financial Institutions,Phoenix,AZ,helpdesk@difi.az.gov
azdhs.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azdiabetes.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azdjc.gov,State or territory,Non-Federal Agency,Arizona Department of Juvenile Corrections,Phoenix,AZ,jviersen@azdjc.gov
azdoa.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,websecurity@azdoa.gov
azdoc.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Corrections",Phoenix,AZ,(blank)
azdo.gov,State or territory,Non-Federal Agency,Arizona Board of Osteopathic Examiners in Medicine and Surgery,Phoenix,AZ,justin.bohall@azdo.gov
azdohs.gov,State or territory,Non-Federal Agency,Department of Homeland Security,Phoenix,AZ,support@az.gov
azdor.gov,State or territory,Non-Federal Agency,Arizona Department of Revenue,Phoenix,AZ,infosec@azdor.gov
azdosh.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,websecurity@azdoa.gov
azdot.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,Phoenix,AZ,(blank)
azdpsapps.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,iso@azdps.gov
azdps.gov,State or territory,Non-Federal Agency,Arizona Department of Public Safety,Phoenix,AZ,iso@azdps.gov
azdvs.gov,State or territory,Non-Federal Agency,Arizona Department of Veterans' Services,Phoenix,AZ,it@azdvs.gov
azed.gov,State or territory,Non-Federal Agency,Arizona Department of Education,Phoenix,AZ,it-security-alert@azed.gov
azein.gov,State or territory,Non-Federal Agency,Arizona Division of Emergency Management,Phoenix,AZ,tim.barndt@azdema.gov
azenvirokids.gov,State or territory,Non-Federal Agency,Arizona Dept of Environmental Quality,Phoenix,AZ,adminnotify@azdeq.gov
azepip.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,Phoenix,AZ,(blank)
azftf.gov,State or territory,Non-Federal Agency,AZ Early Childhood Development and Health Board,Phoenix,AZ,(blank)
azgaming.gov,State or territory,Non-Federal Agency,Arizona Department of Gaming,Phoenix,AZ,itunit@azgaming.gov
azgfd.gov,State or territory,Non-Federal Agency,Arizona Game and Fish Department,Phoenix,AZ,ksanchez@azgfd.gov
azgohs.gov,State or territory,Non-Federal Agency,Governor's Office of Highway Safety,Phoenix,AZ,(blank)
az.gov,State or territory,Non-Federal Agency,State of Arizona,Phoeniz,AZ,websecurity@azdoa.gov
azgovernor.gov,State or territory,Non-Federal Agency,Governor's Office,Phoenix,AZ,itinfo@az.gov
azhealth.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azhighered.gov,State or territory,Non-Federal Agency,Arizona Commission for Postsecondary Education,Phoenix,AZ,(blank)
azhouse.gov,State or territory,Non-Federal Agency,Arizona House of Representatives,Phoenix,AZ,(blank)
azhousing.gov,State or territory,Non-Federal Agency,Arizona Dept of Housing,Phoenix,AZ,(blank)
azhs.gov,State or territory,Non-Federal Agency,Arizona Historical Society Museum,Tempe,AZ,mtouloumes@azhs.gov
azica.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",Phoenix,AZ,websecurity@azdoa.gov
azinsurance.gov,State or territory,Non-Federal Agency,Arizona Department of Insurance and Financial Institutions,Phoenix,AZ,helpdesk@difi.az.gov
azinvestor.gov,State or territory,Non-Federal Agency,Arizona Corporation Commission,Phoenix,AZ,(blank)
azjlbc.gov,State or territory,Non-Federal Agency,Arizona Legislative Council,Phoenix,AZ,bprentiss@azleg.gov
azjobconnection.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azjuved.gov,State or territory,Non-Federal Agency,Arizona Department of Juvenile Corrections,Phoenix,AZ,(blank)
azkidsneedu.gov,State or territory,Non-Federal Agency,Arizona Department of Child Safety,Phoenix,AZ,Edward.Jewell@AZDCS.GOV
azland.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,(blank)
azleg.gov,State or territory,Non-Federal Agency,Arizona Legislative Council - Computer Services Division,Phoenix,AZ,(blank)
azlibrary.gov,State or territory,Non-Federal Agency,"Arizona State Library, Arhives and Public Records",Phoenix,AZ,adorre@azsos.gov
azlinks.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azliquor.gov,State or territory,Non-Federal Agency,Arizona Department of Liquor Licenses and Control,Phoenix,AZ,terry.vernon@azliquor.gov
azlottery.gov,State or territory,Non-Federal Agency,Arizona Lottery,Phoenix,AZ,lan@azlottery.gov
azmag.gov,State or territory,Non-Federal Agency,Maricopa Association of Governments,Phoenix,AZ,(blank)
azmd.gov,State or territory,Non-Federal Agency,Arizona Medical Board,Phoenix,AZ,security.alerts@azmd.gov
azminorityhealth.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azmvdnow.gov,State or territory,Non-Federal Agency,ADOT,PHOENIX,AZ,cmuller@azdot.gov
aznet.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,websecurity@azdoa.gov
azoca.gov,State or territory,Non-Federal Agency,Arizona Ombudsman - Citizens' Aide,Phoenix,AZ,jmacdonnell@azoca.gov
azospb.gov,State or territory,Non-Federal Agency,State of Arizona Governor's Office of Strategic Planning and Budgeting,Phoenix,AZ,support@az.gov
azot.gov,State or territory,Non-Federal Agency,Arizona Office of Tourism,Phoenix,AZ,(blank)
azpa.gov,State or territory,Non-Federal Agency,Arizona Regulatory Board of Physician Assistants,Phoenix,AZ,security.alerts@azmd.gov
azparks.gov,State or territory,Non-Federal Agency,Arizona State Parks Board,Phoenix,AZ,dns_admin@azstateparks.gov
azpharmacy.gov,State or territory,Non-Federal Agency,Arizona State Board of Pharmacy,Phoenix,AZ,KGandhi@AZPharmacy.gov
azpost.gov,State or territory,Non-Federal Agency,Arizona Peace Officer Standards and Training Board,Phoenix,AZ,(blank)
azppse.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,(blank)
azrecycles.gov,State or territory,Non-Federal Agency,Arizona Department of Environmental Quality Recycling,Phoenix,AZ,adminnotify@azdeq.gov
azredistricting.gov,State or territory,Non-Federal Agency,Arizona Independent Redistricting Commission,Phoenix,AZ,azsoc@azdohs.gov
azre.gov,State or territory,Non-Federal Agency,Arizona Department of Real Estate,Phoenix,AZ,(blank)
azroc.gov,State or territory,Non-Federal Agency,AZ ROC,Phoenix,AZ,(blank)
azrra.gov,State or territory,Non-Federal Agency,AZ Radiation Regulatory Agency,Phoenix,AZ,(blank)
azruco.gov,State or territory,Non-Federal Agency,Arizona Residential Utility Consumer Office,Phoenix,AZ,websecurity@azdoa.gov
azsal.gov,State or territory,Non-Federal Agency,Arizona Department of Agricluture,Phoenix,AZ,dmarsh@azsal.gov
azsalud.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,john.stark@azdhs.gov
azsenate.gov,State or territory,Non-Federal Agency,Arizona Senate,Phoenix,AZ,(blank)
azsfb.gov,State or territory,Non-Federal Agency,Arizona School Facilities Board,Phoenix,AZ,websecurity@azdoa.gov
azshare.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azsos.gov,State or territory,Non-Federal Agency,Arizona Secretary of State,Phoenix,AZ,adorre@azsos.gov
azstatejobs.gov,State or territory,Non-Federal Agency,State of Arizona,Phoenix,AZ,websecurity@azdoa.gov
azstateparks.gov,State or territory,Non-Federal Agency,Arizona State Parks Board,Phoenix,AZ,(blank)
aztaxes.gov,State or territory,Non-Federal Agency,Arizona Department of Revenue,Phoenix,AZ,infosec@azdor.gov
aztransportationboard.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,Phoenix,AZ,(blank)
aztreasurer.gov,State or territory,Non-Federal Agency,Arizona State Treasurer's Office,Phoenix,AZ,(blank)
aztreasury.gov,State or territory,Non-Federal Agency,Arizona State Treasury,Phoenix,AZ,it@aztreasury.gov
azui.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azuitax.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
azwaterbank.gov,State or territory,Non-Federal Agency,Arizona Water Banking Authority,Phoenix,AZ,(blank)
azwater.gov,State or territory,Non-Federal Agency,AZ Dept of Water Resources,Phoenix,AZ,sysadmin-alerts@azwater.gov
azwic.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,Phoenix,AZ,(blank)
azwifa.gov,State or territory,Non-Federal Agency,Water Infrastructure Finance Authority,Phoenix,AZ,(blank)
azwpf.gov,State or territory,Non-Federal Agency,Arizona Water Protection Fund,Phoenix,AZ,jrivera@azwater.gov
b4wv.gov,State or territory,Non-Federal Agency,WV Office of Technology,Charleston,WV,cso@wv.gov
bart.gov,State or territory,Non-Federal Agency,San Francisco Bay Area Rapid Transit District,Oakland,CA,(blank)
beoutsideidaho.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
bereadyutah.gov,State or territory,Non-Federal Agency,Utah Division of Homeland Security,Salt Lake City,UT,dspencer@utah.gov
betsylehmancenterma.gov,State or territory,Non-Federal Agency,Betsy Lehman Center for Patient Safety and Medical Error Reduction,Boston,MA,DL-SecurityTeam@chiamass.gov
blnc.gov,State or territory,Non-Federal Agency,North Carolina Department of Commerce,Raleigh,NC,mking@commerce.nc.gov
boatidaho.gov,State or territory,Non-Federal Agency,"State of Idaho, Office of Information Technology Services",Boise,ID,hostmaster@idaho.gov
boimi.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
bridgesofcolorado.gov,State or territory,Non-Federal Agency,Bridges of Colorado,,,bridges@judicial.state.co.us
business4wv.gov,State or territory,Non-Federal Agency,State of West Virginia,Charleston,WV,(blank)
buynjbonds.gov,State or territory,Non-Federal Agency,NJ Department of Treasury,Trenton,NJ,(blank)
buystateoftnsurplus.gov,State or territory,Non-Federal Agency,State of Tennessee ,Nashville,TN,Cyber.Security@tn.gov
ca.gov,State or territory,Non-Federal Agency,State of California,Rancho Cordova,CA,(blank)
cahwnet.gov,State or territory,Non-Federal Agency,HHSDC,Sacramento,CA,(blank)
california.gov,State or territory,Non-Federal Agency,State of California,Rancho Cordova,CA,(blank)
casaaz.gov,State or territory,Non-Federal Agency,Arizona Supreme Court,Phoenix,AZ,sgavette@courts.az.gov
catchthecometsc.gov,State or territory,Non-Federal Agency,Central Midlands Regional Transit Authority,Columbia,SC,domaininfo@thecometsc.gov
chhdwv.gov,State or territory,Non-Federal Agency,Cabell-Huntington Health Department,Huntington,WV,(blank)
chiamass.gov,State or territory,Non-Federal Agency,Center for Health Information and Analysis,Boston,MA,DL-SecurityTeam@chiamass.gov
childcarenj.gov,State or territory,Non-Federal Agency,Department of Human Services Division of Family Development,Trenton,NJ,(blank)
childsupportnd.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
choosect.gov,State or territory,Non-Federal Agency,Department of Economic and Community Development,Hartford,CT,DECD.Helpdesk@ct.gov
claimitar.gov,State or territory,Non-Federal Agency,Arkansas Auditor of State,Little Rock,AR,licenses@auditor.ar.gov
claimittexas.gov,State or territory,Non-Federal Agency,Texas Comptroller of Public Accounts,Austin,TX,(blank)
claimittn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
cmsplanflorida.gov,State or territory,Non-Federal Agency,Florida Department of Health,TALLAHASSEE,FL,(blank)
cnmi.gov,State or territory,Non-Federal Agency,CNMI Department of Finance Office of Information Technology,Saipan,MP,abuse@dof.gov.mp
cnmilaw.gov,State or territory,Non-Federal Agency,Commonwealth Law Revision Commission,Saipan,MP,albert.hicking@nmijudiciary.com
coag.gov,State or territory,Non-Federal Agency,Colorado Dept. of Law,Denver,CO,bill.waggoner@coag.gov
coberturamedicaillinois.gov,State or territory,Non-Federal Agency,Office of the Governor,Chicago,IL,(blank)
cocicjis.gov,State or territory,Non-Federal Agency,State of Colorado - Department of Public Safety,Golden,CO,(blank)
codot.gov,State or territory,Non-Federal Agency,Colorado Department of Transportation,Denver,CO,greg.ostravich@state.co.us
co.gov,State or territory,Non-Federal Agency,"Colorado, Governor's Office of Information Technology",Denver,CO,isoc@state.co.us
coleg.gov,State or territory,Non-Federal Agency,Colorado General Assembly,Denver,CO,(blank)
coloradoattorneygeneral.gov,State or territory,Non-Federal Agency,Colorado Dept. of Law / Office of the Attorney General,Denver,CO,bill.waggoner@coag.gov
coloradobluebook.gov,State or territory,Non-Federal Agency,Colorado General Assembly,Denver,CO,(blank)
coloradofamli.gov,State or territory,Non-Federal Agency,Colorado Department of Labor and Employment,Denver,CO,(blank)
colorado.gov,State or territory,Non-Federal Agency,"Colorado, Governor's Office of Information Technology",Denver,CO,isoc@state.co.us
coloradojudicial.gov,State or territory,Non-Federal Agency,State of Colorado Judicial Department,Denver,CO,its-security@judicial.state.co.us
coloradojudicialperformance.gov,State or territory,Non-Federal Agency,Colorado Office of Judicial Performance Evaluation,Denver,CO,(blank)
coloradolaborlaw.gov,State or territory,Non-Federal Agency,Colorado Department of Labor and Employment,Denver,CO,(blank)
coloradopost.gov,State or territory,Non-Federal Agency,Colorado Dept. of Law,Denver,CO,bill.waggoner@coag.gov
coloradopostgrants.gov,State or territory,Non-Federal Agency,Colorado Department of Law/Office of the Attorney General,Denver,CO,secops@coag.gov
coloradorcjc.gov,State or territory,Non-Federal Agency,State of Colorado Judicial Department,Denver,CO,joeg@techmountain.com
coloradosos.gov,State or territory,Non-Federal Agency,Colorado Department of State,Denver,CO,cybersecurity@coloradosos.gov
coloradoui.gov,State or territory,Non-Federal Agency,Colorado Dept Labor and Employment,Denver,CO,(blank)
coloradowic.gov,State or territory,Non-Federal Agency,COLORADO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,Denver,CO,(blank)
comparecaremass.gov,State or territory,Non-Federal Agency,Center for Health Information and Analysis,Boston,MA,DL-SecurityTeam@chiamass.gov
compohio.gov,State or territory,Non-Federal Agency,State of Ohio,Columbus,OH,domain.manager@das.ohio.gov
connectnd.gov,State or territory,Non-Federal Agency,State of North Dakota,Bisamarck,ND,itsecur@nd.gov
cosipa.gov,State or territory,Non-Federal Agency,Colorado Statewide Internet Portal Authority,Denver,CO,jerrod@cosipa.gov
cosos.gov,State or territory,Non-Federal Agency,Colorado Department of State,Denver,CO,cybersecurity@coloradosos.gov
cotak.gov,State or territory,Non-Federal Agency,Center of excellence for Advanced Technology Aerial Firefighting,Rifle,CO,cdps_dfpc_coe@state.co.us
courtnewsohio.gov,State or territory,Non-Federal Agency,State of Ohio,Columbus,OH,(blank)
courtswv.gov,State or territory,Non-Federal Agency,West Virginia Supreme Court of Appeals,Charleston,WV,(blank)
coverme.gov,State or territory,Non-Federal Agency,State of Maine Office of Information Technology,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
coworkforce.gov,State or territory,Non-Federal Agency,Colorado Dept Labor and Employement,Denver,CO,(blank)
csimt.gov,State or territory,Non-Federal Agency,"Montana Office of the Commissioner of Securities and Insurance, Montana State Auditor",Helena,MT,csi.it@mt.gov
ctalert.gov,State or territory,Non-Federal Agency,State of Connecticut Department of Emergency Services and Public Protection,Middletown,CT,(blank)
ctauditors.gov,State or territory,Non-Federal Agency,State of Connecticut Auditors of Public Accounts,Hartford,CT,(blank)
ctbiglist.gov,State or territory,Non-Federal Agency,Office of the State Treasurer,,,abuse@ct.gov
ctbrownfields.gov,State or territory,Non-Federal Agency,State of Connecticut Dept. of Economic & Community Development,Hartford,CT,(blank)
ct.gov,State or territory,Non-Federal Agency,State of CT/Department of Administrative Services,Hartford,CT,(blank)
ctgrown.gov,State or territory,Non-Federal Agency,CT Department of Agriculture,Hartford,CT,(blank)
