url,# Locations
catlettsburgky.gov,7
cavecreekaz.gov,4
cavespringsar.gov,6
caycesc.gov,4
cdaid.gov,0
cecilga.gov,6
ceciltonmd.gov,4
ceciltownship-pa.gov,1
cedarcityut.gov,2
cedarhurst.gov,7
cedarparktexas.gov,4
cedartowngeorgia.gov,9
celinaohiopd.gov,7
celina-tx.gov,4
centennialco.gov,10
centerco.gov,9
centerhancockin.gov,7
centerharbornh.gov,7
centerline.gov,4
centervilleohio.gov,1
centervilletx.gov,3
centervilleutah.gov,7
centerwi.gov,2
centralcityia.gov,4
central-la.gov,6
centrallaketownshipmi.gov,1
centralpointoregon.gov,12
centreal.gov,1
ceredowv.gov,2
cerritosca.gov,4
cgaz.gov,4
chaddsfordpa.gov,4
chambersburgpa.gov,7
chambleega.gov,6
champaignil.gov,4
chandleraz.gov,2
chandlerazpd.gov,1
chanhassenmn.gov,4
charleston-sc.gov,4
charlestonwv.gov,6
charlestown-nh.gov,6
charlestownri.gov,6
charlevoixmi.gov,2
charlevoixtownship.gov,5
charlottenc.gov,8
charlottesville.gov,12
chaskamn.gov,6
chathamil.gov,1
chatham-ma.gov,4
chathamtownship-nj.gov,4
chatham-va.gov,8
chatsworthga.gov,4
chatsworthil.gov,7
chattahoocheefl.gov,4
chattanooga.gov,11
chelmsfordma.gov,4
chelseama.gov,4
chelseaok.gov,7
cheltenhampa.gov,4
chenequawi.gov,1
chesapeakebeachmd.gov,6
chesapeakecity-md.gov,2
chesapeakewv.gov,4
cheshire-ma.gov,6
chesterfield.gov,4
chesterfieldtwpnj.gov,2
chestervt.gov,6
chestnuthilltwp-pa.gov,6
cheverly-md.gov,7
chevychaseviewmd.gov,6
chevychasevillagemd.gov,9
chicagoelections.gov,19
chicago.gov,2
chicoca.gov,4
chicopeema.gov,4
chilhowieva.gov,6
chillicotheoh.gov,7
chilmarkma.gov,4
chiltonwi.gov,4
chinagrovenc.gov,7
chincoteague-va.gov,6
chinohills.gov,12
chinookmt.gov,7
chippewafalls-wi.gov,2
chnj.gov,6
chocolay.gov,7
chulavistaca.gov,1
churchhilltn.gov,7
cibolotx.gov,4
cicerony.gov,7
cincinnati-oh.gov,7
circlevilleoh.gov,7
ciscotexas.gov,6
citykankakee-il.gov,1
cityofadams-wi.gov,5
cityofadelga.gov,4
cityofaikensc.gov,1
cityofalbionmi.gov,4
cityofalcoa-tn.gov,12
cityofallisonia.gov,4
cityofalmaga.gov,4
cityofalmatx.gov,6
cityofaltonil.gov,4
cityofauburnwa.gov,12
cityofaudubonmn.gov,7
cityofbambergsc.gov,1
cityofbayardnm.gov,7
cityofbayminetteal.gov,4
cityofbentonharbormi.gov,4
cityofbinghamton.gov,2
cityofblairwi.gov,7
cityofblancotx.gov,7
cityofblueridgega.gov,6
cityofboston.gov,2
cityofbowmanga.gov,7
cityofboydtx.gov,7
cityofbristowok.gov,7
cityofbrodheadwi.gov,6
cityofbrookings-sd.gov,6
cityofbrookwoodal.gov,4
cityofbrunswick-ga.gov,4
cityofburnsor.gov,7
cityofburton-tx.gov,2
cityofcanalfulton-oh.gov,2
cityofcarsonca.gov,1
cityofcayce-sc.gov,8
cityofcharlottetn.gov,6
cityofchetek-wi.gov,7
cityofclare.gov,4
cityofclaytonga.gov,7
cityofclintoniowa.gov,4
cityofconway-ar.gov,4
cityofcottonwoodmn.gov,6
cityofcoweta-ok.gov,2
cityofcreedmoortx.gov,6
cityofcrisfield-md.gov,3
cityofcudahyca.gov,7
cityofdalton-ga.gov,6
cityofdeerlodgemt.gov,6
cityofdelafieldwi.gov,6
cityofdixonca.gov,4
cityofdouglasga.gov,1
cityofdunbarwv.gov,7
cityofeatonrapids.gov,4
cityofelkharttx.gov,7
cityofellisks.gov,7
cityofelynv.gov,4
cityoferintn.gov,2
cityofeudoraks.gov,2
cityoffarmersville-ca.gov,4
cityoffarmington-ar.gov,1
cityoffergusonky.gov,2
cityoffolkston-ga.gov,2
cityoffrederickmd.gov,2
cityofgaffney-sc.gov,4
cityofgalenapark-tx.gov,2
cityofgalesvillewi.gov,1
cityofgibraltarmi.gov,1
cityofgirardoh.gov,2
cityofgolden.gov,2
cityofgrandblancmi.gov,6
cityofgrossepointemi.gov,4
cityofgroton-ct.gov,1
cityofgroveok.gov,1
cityofgunnison-co.gov,4
cityofguttenbergia.gov,2
cityofhackensackmn.gov,6
cityofharrison-mi.gov,4
cityofharveyil.gov,7
cityofhaywardwi.gov,2
cityofherculaneum.gov,6
cityofhiramga.gov,1
cityofhokah-mn.gov,1
cityofholyoke-co.gov,2
cityofhomer-ak.gov,6
cityofhoodriver.gov,2
cityofhubbard-oh.gov,4
cityofhughsonca.gov,4
cityofirondaleal.gov,6
cityofjuneauwi.gov,4
cityofkewauneewi.gov,6
cityofkeywest-fl.gov,6
cityofkingman.gov,1
cityofkingsburg-ca.gov,6
cityoflacrescent-mn.gov,4
cityofladue-mo.gov,6
cityoflagrangemo.gov,6
cityoflakegeneva.gov,5
cityoflancasterca.gov,6
cityoflancasterpa.gov,4
cityoflaportein.gov,7
cityoflfp.gov,4
cityoflisbon-ia.gov,6
cityoflodiwi.gov,4
cityoflompoc.gov,4
cityoflorettotn.gov,6
cityoflouisvillems.gov,6
cityoflubbocktx.gov,12
cityofmacon-mo.gov,6
cityofmadera.gov,4
cityofmanchestertn.gov,4
cityofmargaretalabama.gov,2
cityofmarionil.gov,1
cityofmarionwi.gov,7
cityofmattawa-wa.gov,4
cityofmaysvilleky.gov,8
cityofmaywoodparkor.gov,7
cityofmccaysvillega.gov,1
cityofmebanenc.gov,7
cityofmetterga.gov,2
cityofmidland-mi.gov,0
cityofmidlandmi.gov,1
cityofmillbrook-al.gov,2
cityofmillenga.gov,7
cityofminatarene.gov,4
cityofmineralpointwi.gov,4
cityofmitchellsd.gov,6
cityofmonongahela-pa.gov,1
cityofmonroewi.gov,6
cityofmooreok.gov,4
cityofmorgantonga.gov,3
cityofmorrisok.gov,4
cityofmte.gov,1
cityofmtvernon-ia.gov,4
cityofnanticoke-pa.gov,6
cityofnewbuffalomi.gov,4
cityofnewburgh-ny.gov,7
cityofnewfranklinmo.gov,6
cityofnewman.gov,1
cityofnichollsga.gov,6
cityofnormandy.gov,5
cityofocontowi.gov,7
cityofpacificwa.gov,1
cityofpalmdaleca.gov,6
cityofparistn.gov,7
cityofparma-oh.gov,12
cityofpassaicnj.gov,1
cityofpattersonla.gov,6
cityofpearidgear.gov,4
cityofpetersburgwv.gov,6
cityofpevelymo.gov,6
cityofpigeonforgetn.gov,1
cityofpinconningmi.gov,4
cityofpinebluff-ar.gov,3
cityofplainville-ks.gov,2
cityofplattsburgh-ny.gov,6
cityofpleasantonca.gov,4
cityofportlandtn.gov,4
cityofringgoldga.gov,6
cityofrochester.gov,2
cityofrockhillsc.gov,7
cityofrogerstx.gov,7
cityofroyaltonmn.gov,1
cityofsacramento.gov,4
cityofsalemnj.gov,1
cityofsanaugustinetx.gov,7
cityofsanmateoca.gov,4
cityofsantamariaca.gov,4
cityofsanteeca.gov,1
cityofsarasotafl.gov,4
cityofsavannail.gov,1
cityofsebastopol.gov,4
cityofsemmesal.gov,2
cityofsenatobiams.gov,4
cityofsewardne.gov,4
cityofsnoqualmiewa.gov,4
cityofsourlake.gov,7
cityofsouthfultonga.gov,4
cityofspartanburg-sc.gov,2
cityofspencerok.gov,2
cityofspoonerwi.gov,13
cityofstockbridge-ga.gov,6
cityofthorp.gov,4
cityoftitusvillepa.gov,6
cityoftombstoneaz.gov,1
cityoftulsa.gov,4
cityoftybee.gov,7
cityofvacaville.gov,6
cityofvermilionohio.gov,2
cityofwakefieldmi.gov,4
cityofwarrenpa.gov,6
cityofwashburnwi.gov,4
cityofwasilla.gov,4
cityofwaterfordca.gov,6
cityofweatherbylake-mo.gov,6
cityofwestonlakes-tx.gov,6
cityofweyauwega-wi.gov,6
cityofwhitneytx.gov,4
cityofwinonamo.gov,7
cityofwoodburyga.gov,6
cityofwoodland.gov,12
cityofwoodward-ok.gov,6
cityofworlandwy.gov,8
cityofworthingtonhillsky.gov,6
cityofyukonok.gov,6
clantonal.gov,2
claremontca.gov,4
clarendonvt.gov,1
clarioniowa.gov,7
clarionpolicepa.gov,2
clarksburgma.gov,2
clarkssummitpa.gov,1
clarkstonga.gov,1
clarkstown.gov,12
clarksvillear.gov,2
clarksvilletn.gov,3
clarktwpmi.gov,1
claytonca.gov,6
claytoncapolice.gov,2
claytonmo.gov,4
claytonnc.gov,2
claytonwinnebagowi.gov,4
claytwp-hamin.gov,4
claytwpmi.gov,7
clearfieldpa.gov,6
clearlakeshores-tx.gov,12
clearlake-wi.gov,4
clearspringmd.gov,3
cleelum.gov,4
clendeninwv.gov,7
clevelandheights.gov,21
cleveland-oh.gov,2
clevelandohio.gov,8
clevelandtn.gov,1
clevelandwi.gov,7
clevermo.gov,4
clewiston-fl.gov,1
cliffsideparknj.gov,2
cliftonaz.gov,7
cliftonforgeva.gov,2
cliftonheightspa.gov,6
cliftonva.gov,7
clintonma.gov,1
clinton-me.gov,2
clintonnj.gov,8
clintonohfire.gov,1
clintonoh.gov,1
clintonok.gov,4
clintontownship-mi.gov,6
clintontwpnj.gov,2
clintonvillewi.gov,1
cliomi.gov,4
cloquetmn.gov,2
clutetexas.gov,2
clyde-tx.gov,7
clydewi.gov,2
cmsdca.gov,6
coalcity-il.gov,4
coalrunky.gov,7
cocoafl.gov,1
codywy.gov,7
coeburnva.gov,9
cohassetfirema.gov,6
cohassetma.gov,6
cohassetpolicema.gov,6
colburnadamswi.gov,7
colchesterct.gov,7
colchestervt.gov,6
coldspringky.gov,3
coldspringny.gov,2
colfax-ca.gov,6
colfaxia.gov,7
collegedaletn.gov,4
collegeparkga.gov,12
collegeparkmd.gov,4
collegeville-pa.gov,1
colliervilletn.gov,4
colonialbeachva.gov,7
colonialheightsva.gov,4
coloradosprings.gov,4
colquittga.gov,8
colrain-ma.gov,6
coltonca.gov,4
columbiaheightsmn.gov,1
columbiail.gov,12
columbianaohio.gov,7
columbiasc.gov,4
columbusga.gov,4
columbus.gov,2
columbusks.gov,7
columbuswi.gov,7
colwichks.gov,4
comanchetexas.gov,4
commercega.gov,4
commercialpointohio.gov,6
como.gov,7
comstockmi.gov,7
concordma.gov,4
concordnc.gov,2
concordnh.gov,6
concretewa.gov,7
conneautohio.gov,1
connersvillein.gov,2
conovernc.gov,4
conshohockenpa.gov,7
constablevilleny.gov,6
conwayarkansas.gov,4
conwayma.gov,4
conwaymi.gov,2
conwaypdnh.gov,7
conwaysc.gov,1
conyersga.gov,1
cookeville-tn.gov,4
coonrapidsmn.gov,2
coopercity.gov,4
coosbayor.gov,7
coppelltx.gov,4
copperascovetx.gov,1
coralgables-fl.gov,2
coralgablesfl.gov,2
coralsprings.gov,12
corbin-ky.gov,7
corcoranmn.gov,6
corfuny.gov,7
cor.gov,4
corneliusor.gov,2
corningar.gov,7
cornwallct.gov,2
cornwallny.gov,7
coronaca.gov,4
coronadoca.gov,2
corralesnm.gov,2
corrypa.gov,4
corsicanatx.gov,6
cortemadera.gov,10
cortezco.gov,10
corunna-mi.gov,4
corvallisoregon.gov,1
corydon-in.gov,7
cosmopoliswa.gov,7
costamesaca.gov,6
cottagecitymd.gov,6
cottagegrovemn.gov,4
cottagegroveor.gov,7
cottonwoodaz.gov,4
councilbluffs-ia.gov,12
courtlandtwpmi.gov,6
coventry-ct.gov,4
coventryri.gov,6
covinaca.gov,6
covingtonky.gov,6
covington-oh.gov,4
covingtonwa.gov,4
cranberryisles-me.gov,6
cranstonfireri.gov,6
cranstonri.gov,12
crawfordsville-in.gov,6
crawfordtx.gov,2
creditriver-mn.gov,4
crestedbutte-co.gov,4
crestoniowa.gov,1
crestviewky.gov,7
crestwoodky.gov,6
crevecoeurmo.gov,13
crivitz.gov,7
crossplainstn.gov,3
crossroadstx.gov,9
crossvilletn.gov,2
crotononhudson-ny.gov,4
crystalmn.gov,6
crystalspringsms.gov,6
cstx.gov,11
cubaassessoril.gov,7
cubatwpil.gov,7
cudahy-wi.gov,4
cullmanal.gov,4
culpeperva.gov,2
cumberlandmd.gov,9
cumberlandtwppa.gov,2
cummington-ma.gov,6
cupertino.gov,7
curtis-ne.gov,6
cutlerbay-fl.gov,4
cynthianaky.gov,1
daculaga.gov,8
dadecityfl.gov,0
dahlonega.gov,7
dakotavalleyrecyclingmn.gov,3
dalharttx.gov,6
dallascityhall-tx.gov,4
dallasfire.gov,4
dallas-ga.gov,4
dallasga.gov,1
dallas.gov,4
dallasoregon.gov,7
dallasor.gov,7
dallaspolice.gov,4
daltonga.gov,6
dalton-ma.gov,6
daltonohio.gov,2
danbury-ct.gov,7
danburytx.gov,6
dandridgetn.gov,7
daniabeachfl.gov,12
danversma.gov,2
danvillear.gov,4
danvillein.gov,4
danvilleky.gov,7
danvilleva.gov,7
danvillevt.gov,6
darienct.gov,6
darienil.gov,2
darientownwi.gov,2
darienvillagewi.gov,7
darlingtonwi.gov,7
daughertytownship-pa.gov,3
davenportok.gov,7
davidcityne.gov,7
davie-fl.gov,6
davisboroga.gov,4
davisontwp-mi.gov,1
dawsonville-ga.gov,12
daytonabeach.gov,4
dayton-me.gov,1
daytonohio.gov,4
daytonoregon.gov,4
dearborn.gov,7
dearbornheightsmi.gov,4
decatur-al.gov,2
decaturil.gov,1
decaturillinois.gov,1
decaturtx.gov,2
decherdtn.gov,2
deckerville-mi.gov,6
decorahia.gov,4
dedham-ma.gov,6
deerfieldbeachfl.gov,4
deerfieldmichigan.gov,1
deeringnh.gov,4
deerpark-oh.gov,2
dekorra-wi.gov,7
delawaretownshippa.gov,6
delawaretwpmi.gov,1
delhitownshipmi.gov,7
dellonawi.gov,7
delraybeachfl.gov,4
deltami.gov,7
deltonafl.gov,2
demarestnj.gov,7
demopolisal.gov,4
denisontx.gov,4
denningny.gov,1
dentontx.gov,2
denvericmi.gov,1
denvillenj.gov,4
denvillepolice.gov,7
deperewi.gov,4
deporttexas.gov,7
derbyct.gov,6
desmoineswa.gov,6
desototexas.gov,4
detroitmi.gov,2
dewittar.gov,1
dewittmi.gov,4
dextermi.gov,9
dfspdfl.gov,4
dhaz.gov,7
diamondbarca.gov,6
diamondbluffwi.gov,3
dickinsontexas.gov,7
dickinson-tx.gov,7
dicksoncity-pa.gov,7
digginsmo.gov,1
dighton-ma.gov,1
dixonfireca.gov,4
dixonmo.gov,7
dixonpoliceca.gov,4
dodgevillewi.gov,7
donaldoregon.gov,6
doral-fl.gov,6
dorrtownshipmi.gov,4
douglasaz.gov,6
douglas-ma.gov,4
douglasmi.gov,4
douglasvillega.gov,6
doverma.gov,7
dracutma.gov,19
draperutah.gov,2
dublin-ca.gov,4
dublinca.gov,4
duboispa.gov,4
dudleyma.gov,6
dudleypolicema.gov,6
duewestsc.gov,1
duluthmn.gov,4
dumastx.gov,1
dumfriesva.gov,7
dumontnj.gov,1
dunbarboropa.gov,1
duncanok.gov,7
duncanvilletx.gov,4
dunellen-nj.gov,8
dunkirkin.gov,7
dunlaptn.gov,1
dunmorepa.gov,7
dunstable-ma.gov,4
dunwoodyga.gov,6
dupontwa.gov,4
duquoinil.gov,2
durandwi.gov,7
